dataset	cell	class	ngenes	reads
FLASH-seq	ZHA8833A3	single	5	8
FLASH-seq	ZHA8833A3	single	9	2
FLASH-seq	ZHA8833A3	single	10	24
FLASH-seq	ZHA8833A4	multi	1	282612
FLASH-seq	ZHA8833A4	multi	2	828995
FLASH-seq	ZHA8833A4	multi	3	823336
FLASH-seq	ZHA8833A4	multi	4	520602
FLASH-seq	ZHA8833A4	multi	5	350733
FLASH-seq	ZHA8833A4	multi	6	187029
FLASH-seq	ZHA8833A4	multi	7	150070
FLASH-seq	ZHA8833A4	multi	8	73755
FLASH-seq	ZHA8833A4	multi	9	55250
FLASH-seq	ZHA8833A4	multi	10	64544
FLASH-seq	ZHA8833A4	multi	11	35627
FLASH-seq	ZHA8833A4	multi	12	30657
FLASH-seq	ZHA8833A4	multi	13	29257
FLASH-seq	ZHA8833A4	multi	14	16320
FLASH-seq	ZHA8833A4	multi	15	21402
FLASH-seq	ZHA8833A4	multi	16	9536
FLASH-seq	ZHA8833A4	multi	17	14793
FLASH-seq	ZHA8833A4	multi	18	5522
FLASH-seq	ZHA8833A4	multi	19	22656
FLASH-seq	ZHA8833A4	multi	20	38768
FLASH-seq	ZHA8833A4	single	1	18328513
FLASH-seq	ZHA8833A4	single	2	5387636
FLASH-seq	ZHA8833A4	single	3	334059
FLASH-seq	ZHA8833A4	single	4	19169
FLASH-seq	ZHA8833A4	single	5	542
FLASH-seq	ZHA8833A4	single	6	38
FLASH-seq	ZHA8833A4	single	7	6
FLASH-seq	ZHA8833A4	single	8	2
FLASH-seq	ZHA8833A4	single	9	14
FLASH-seq	ZHA8833A4	single	10	43
FLASH-seq	ZHA8833A4	single	12	2
FLASH-seq	ZHA8833A4	single	14	7
FLASH-seq	ZHA8833A4	single	15	41
FLASH-seq	ZHA8833A4	single	16	13
FLASH-seq	ZHA8833A4	single	17	13
FLASH-seq	ZHA8833A4	single	19	8
FLASH-seq	ZHA8833A4	single	20	1430
FLASH-seq	ZHA8833A5	multi	1	277831
FLASH-seq	ZHA8833A5	multi	2	826989
FLASH-seq	ZHA8833A5	multi	3	786646
FLASH-seq	ZHA8833A5	multi	4	503321
FLASH-seq	ZHA8833A5	multi	5	329200
FLASH-seq	ZHA8833A5	multi	6	181788
FLASH-seq	ZHA8833A5	multi	7	141092
FLASH-seq	ZHA8833A5	multi	8	72979
FLASH-seq	ZHA8833A5	multi	9	55151
FLASH-seq	ZHA8833A5	multi	10	63328
FLASH-seq	ZHA8833A5	multi	11	35635
FLASH-seq	ZHA8833A5	multi	12	30652
FLASH-seq	ZHA8833A5	multi	13	28646
FLASH-seq	ZHA8833A5	multi	14	16022
FLASH-seq	ZHA8833A5	multi	15	20642
FLASH-seq	ZHA8833A5	multi	16	9351
FLASH-seq	ZHA8833A5	multi	17	13964
FLASH-seq	ZHA8833A5	multi	18	5731
FLASH-seq	ZHA8833A5	multi	19	21784
FLASH-seq	ZHA8833A5	multi	20	37672
FLASH-seq	ZHA8833A6	multi	1	230481
FLASH-seq	ZHA8833A6	multi	2	693849
FLASH-seq	ZHA8833A6	multi	3	644850
FLASH-seq	ZHA8833A6	multi	4	409291
FLASH-seq	ZHA8833A6	multi	5	262793
FLASH-seq	ZHA8833A6	multi	6	147540
FLASH-seq	ZHA8833A6	multi	7	111820
FLASH-seq	ZHA8833A6	multi	8	58818
FLASH-seq	ZHA8833A6	multi	9	43320
FLASH-seq	ZHA8833A6	multi	10	50047
FLASH-seq	ZHA8833A6	multi	11	27658
FLASH-seq	ZHA8833A6	multi	12	24633
FLASH-seq	ZHA8833A6	multi	13	22696
FLASH-seq	ZHA8833A6	multi	14	12906
FLASH-seq	ZHA8833A6	multi	15	16009
FLASH-seq	ZHA8833A6	multi	16	7433
FLASH-seq	ZHA8833A6	multi	17	11291
FLASH-seq	ZHA8833A6	multi	18	4379
FLASH-seq	ZHA8833A6	multi	19	17034
FLASH-seq	ZHA8833A6	multi	20	29611
FLASH-seq	ZHA8833A6	single	1	14132422
FLASH-seq	ZHA8833A6	single	2	4075184
FLASH-seq	ZHA8833A6	single	3	247015
FLASH-seq	ZHA8833A6	single	4	15115
FLASH-seq	ZHA8833A6	single	5	682
FLASH-seq	ZHA8833A6	single	6	33
FLASH-seq	ZHA8833A6	single	7	5
FLASH-seq	ZHA8833A6	single	9	43
FLASH-seq	ZHA8833A6	single	10	33
FLASH-seq	ZHA8833A6	single	12	3
FLASH-seq	ZHA8833A6	single	13	1
FLASH-seq	ZHA8833A6	single	14	15
FLASH-seq	ZHA8833A6	single	15	94
FLASH-seq	ZHA8833A6	single	16	18
