dataset	cell	class	biotype	reads
VASA own, 130 nt	001	single	TranscribedProcessedPseudogene	27
VASA own, 130 nt	001	single	UnitaryPseudogene	20
VASA own, 130 nt	001	single	MtRrna	17
VASA own, 130 nt	001	single	TranscribedUnitaryPseudogene	11
VASA own, 130 nt	001	single	tRNA	8
VASA own, 130 nt	001	single	UnprocessedPseudogene	4
VASA own, 130 nt	001	single	MtTrna	2
VASA own, 130 nt	002	multi	lncRNA	473179
VASA own, 130 nt	002	multi	ProteinCoding	453754
VASA own, 130 nt	002	multi	MiscRna	101875
VASA own, 130 nt	002	multi	miRNA	59382
VASA own, 130 nt	002	multi	snRNA	57448
VASA own, 130 nt	002	multi	ProcessedPseudogene	34094
VASA own, 130 nt	002	multi	snoRNA	15724
VASA own, 130 nt	002	multi	TranscribedProcessedPseudogene	15127
VASA own, 130 nt	002	multi	UnprocessedPseudogene	5418
VASA own, 130 nt	002	multi	rRNA	4383
VASA own, 130 nt	002	multi	TranscribedUnprocessedPseudogene	2249
VASA own, 130 nt	002	multi	TEC	1060
VASA own, 130 nt	002	multi	TranscribedUnitaryPseudogene	961
VASA own, 130 nt	002	multi	tRNA	480
VASA own, 130 nt	002	multi	UnitaryPseudogene	364
VASA own, 130 nt	002	multi	MtTrna	78
VASA own, 130 nt	002	multi	ribozyme	57
VASA own, 130 nt	002	multi	MtRrna	13
VASA own, 130 nt	002	multi	IgVGene	7
VASA own, 130 nt	002	multi	IgVPseudogene	7
VASA own, 130 nt	002	multi	scaRNA	2
VASA own, 130 nt	002	multi	TrCGene	1
VASA own, 130 nt	002	multi	TrVGene	1
VASA own, 130 nt	002	single	ProteinCoding	773781
VASA own, 130 nt	002	single	lncRNA	94099
VASA own, 130 nt	002	single	ribozyme	21079
VASA own, 130 nt	002	single	MiscRna	16908
VASA own, 130 nt	002	single	snoRNA	16803
VASA own, 130 nt	002	single	snRNA	8030
VASA own, 130 nt	002	single	miRNA	3638
VASA own, 130 nt	002	single	ProcessedPseudogene	2343
VASA own, 130 nt	002	single	rRNA	1976
VASA own, 130 nt	002	single	TEC	1620
VASA own, 130 nt	002	single	TranscribedProcessedPseudogene	906
VASA own, 130 nt	002	single	scaRNA	841
VASA own, 130 nt	002	single	TranscribedUnprocessedPseudogene	703
VASA own, 130 nt	002	single	UnprocessedPseudogene	268
VASA own, 130 nt	002	single	tRNA	227
VASA own, 130 nt	002	single	MtRrna	164
VASA own, 130 nt	002	single	TranscribedUnitaryPseudogene	160
VASA own, 130 nt	002	single	UnitaryPseudogene	62
VASA own, 130 nt	002	single	MtTrna	44
VASA own, 130 nt	002	single	TranslatedUnprocessedPseudogene	8
VASA own, 130 nt	002	single	pseudogene	2
VASA own, 130 nt	003	multi	lncRNA	693333
VASA own, 130 nt	003	multi	ProteinCoding	585509
VASA own, 130 nt	003	multi	MiscRna	324920
VASA own, 130 nt	003	multi	miRNA	184453
VASA own, 130 nt	003	multi	snRNA	128890
VASA own, 130 nt	003	multi	ProcessedPseudogene	69884
VASA own, 130 nt	003	multi	snoRNA	50956
VASA own, 130 nt	003	multi	TranscribedProcessedPseudogene	30926
VASA own, 130 nt	003	multi	rRNA	10394
VASA own, 130 nt	003	multi	UnprocessedPseudogene	9230
VASA own, 130 nt	003	multi	TranscribedUnprocessedPseudogene	4211
VASA own, 130 nt	003	multi	TranscribedUnitaryPseudogene	2374
VASA own, 130 nt	003	multi	TEC	1755
VASA own, 130 nt	003	multi	tRNA	912
VASA own, 130 nt	003	multi	UnitaryPseudogene	621
VASA own, 130 nt	003	multi	ribozyme	289
VASA own, 130 nt	003	multi	MtTrna	92
VASA own, 130 nt	003	multi	MtRrna	48
VASA own, 130 nt	003	multi	scaRNA	14
