dataset	bin	coverage	genes
VASA own, 75 nt	27	0.01039824	11377
VASA own, 75 nt	28	0.01046772	11377
VASA own, 75 nt	29	0.01038695	11377
VASA own, 75 nt	30	0.01031061	11377
VASA own, 75 nt	31	0.01036883	11377
VASA own, 75 nt	32	0.01024193	11377
VASA own, 75 nt	33	0.01015151	11377
VASA own, 75 nt	34	0.01026231	11377
VASA own, 75 nt	35	0.01026959	11377
VASA own, 75 nt	36	0.01007841	11377
VASA own, 75 nt	37	0.01019473	11377
VASA own, 75 nt	38	0.01015996	11377
VASA own, 75 nt	39	0.01043653	11377
VASA own, 75 nt	40	0.01049619	11377
VASA own, 75 nt	41	0.01044743	11377
VASA own, 75 nt	42	0.01053756	11377
VASA own, 75 nt	43	0.01043091	11377
VASA own, 75 nt	44	0.01043798	11377
VASA own, 75 nt	45	0.01038603	11377
VASA own, 75 nt	46	0.01028360	11377
VASA own, 75 nt	47	0.01037239	11377
VASA own, 75 nt	48	0.01035775	11377
VASA own, 75 nt	49	0.01034545	11377
VASA own, 75 nt	50	0.01038530	11377
VASA own, 75 nt	51	0.01021658	11377
VASA own, 75 nt	52	0.01014053	11377
VASA own, 75 nt	53	0.01010029	11377
VASA own, 75 nt	54	0.01006515	11377
VASA own, 75 nt	55	0.00998666	11377
VASA own, 75 nt	56	0.00994312	11377
VASA own, 75 nt	57	0.00993070	11377
VASA own, 75 nt	58	0.00993291	11377
VASA own, 75 nt	59	0.01014716	11377
VASA own, 75 nt	60	0.01021116	11377
VASA own, 75 nt	61	0.01010817	11377
VASA own, 75 nt	62	0.01009644	11377
VASA own, 75 nt	63	0.01008346	11377
VASA own, 75 nt	64	0.01002976	11377
VASA own, 75 nt	65	0.00994755	11377
VASA own, 75 nt	66	0.00980427	11377
VASA own, 75 nt	67	0.00989038	11377
VASA own, 75 nt	68	0.00998945	11377
VASA own, 75 nt	69	0.00990074	11377
VASA own, 75 nt	70	0.00976436	11377
VASA own, 75 nt	71	0.00982321	11377
VASA own, 75 nt	72	0.00957943	11377
VASA own, 75 nt	73	0.00927953	11377
VASA own, 75 nt	74	0.00929180	11377
VASA own, 75 nt	75	0.00935768	11377
VASA own, 75 nt	76	0.00926250	11377
VASA own, 75 nt	77	0.00916402	11377
VASA own, 75 nt	78	0.00913091	11377
VASA own, 75 nt	79	0.00905894	11377
VASA own, 75 nt	80	0.00908173	11377
VASA own, 75 nt	81	0.00909728	11377
VASA own, 75 nt	82	0.00903386	11377
VASA own, 75 nt	83	0.00896153	11377
VASA own, 75 nt	84	0.00903424	11377
VASA own, 75 nt	85	0.00894847	11377
VASA own, 75 nt	86	0.00884050	11377
VASA own, 75 nt	87	0.00886219	11377
VASA own, 75 nt	88	0.00864623	11377
VASA own, 75 nt	89	0.00852890	11377
VASA own, 75 nt	90	0.00842004	11377
VASA own, 75 nt	91	0.00858666	11377
VASA own, 75 nt	92	0.00879024	11377
VASA own, 75 nt	93	0.00919391	11377
VASA own, 75 nt	94	0.00943218	11377
VASA own, 75 nt	95	0.00956292	11377
VASA own, 75 nt	96	0.01002121	11377
VASA own, 75 nt	97	0.01041519	11377
VASA own, 75 nt	98	0.01068129	11377
VASA own, 75 nt	99	0.00947646	11377
VASA own, 75 nt	100	0.00557809	11377
VASA published, mouse	1	0.00367114	11377
VASA published, mouse	2	0.00675636	11377
VASA published, mouse	3	0.00820480	11377
VASA published, mouse	4	0.00871687	11377
VASA published, mouse	5	0.00916407	11377
VASA published, mouse	6	0.00940010	11377
VASA published, mouse	7	0.00964798	11377
