genotype	n	median	q1	q3	pct_under_30	pct_discarded	prefilter	minlen
XY	29840660	15	7	106	58.03593486203053	49.16294746832007	TRUE	15
XO	55924288	17	7	116	56.26017447016938	47.867711789196136	TRUE	15
EpiLCs	95041283	21	8	127	52.77500515223474	44.6412607876937	TRUE	15
Blank control	4492404	5	0	22	79.22758060049809	70.25216342964703	TRUE	15
