cell	adapter	reads	pct_of_dropped	bases_removed	genotype	replicate	seq_no
001	no_adapter	7414	1.0038	0	Blank control	1	31
001	polyA	439037	59.4428	24712587	Blank control	1	31
001	polyG	2345	0.3175	283042	Blank control	1	31
001	polyT5	283138	38.3351	13078550	Blank control	1	31
001	rt	6653	0.9008	941796	Blank control	1	31
002	no_adapter	10067	0.4283	0	XY	1	1
002	polyA	1778206	75.6554	97896799	XY	1	1
002	polyG	12038	0.5122	1464305	XY	1	1
002	polyT5	522810	22.2434	23490119	XY	1	1
002	rt	27282	1.1607	3368798	XY	1	1
003	no_adapter	39054	0.8064	0	XY	2	2
003	polyA	3934992	81.2509	205592201	XY	2	2
003	polyG	18527	0.3826	2236005	XY	2	2
003	polyT5	682279	14.0879	29445493	XY	2	2
003	rt	168160	3.4722	23370576	XY	2	2
004	no_adapter	27528	0.6625	0	XY	3	3
004	polyA	2973398	71.559	145463489	XY	3	3
004	polyG	17174	0.4133	2063284	XY	3	3
004	polyT5	1075165	25.8754	46076248	XY	3	3
004	rt	61903	1.4898	7935661	XY	3	3
005	no_adapter	14545	0.4378	0	XY	4	4
005	polyA	2529081	76.1321	139426649	XY	4	4
005	polyG	14236	0.4285	1718182	XY	4	4
005	polyT5	719967	21.6729	32962175	XY	4	4
005	rt	44136	1.3286	5753636	XY	4	4
006	no_adapter	19288	0.3862	0	XO	4	9
006	polyA	3694382	73.9626	201966743	XO	4	9
006	polyG	22052	0.4415	2659278	XO	4	9
006	polyT5	1204407	24.1126	53534635	XO	4	9
006	rt	54806	1.0972	6640689	XO	4	9
007	no_adapter	57495	0.6621	0	XO	1	5
007	polyA	7432192	85.5839	392112743	XO	1	5
007	polyG	38221	0.4401	4589362	XO	1	5
007	polyT5	820966	9.4537	36967798	XO	1	5
007	rt	335231	3.8603	45208530	XO	1	5
008	no_adapter	37990	0.6446	0	XO	2	6
008	polyA	4805415	81.5421	241564472	XO	2	6
008	polyG	26305	0.4464	3177140	XO	2	6
008	polyT5	909007	15.4248	41263696	XO	2	6
008	rt	114450	1.9421	14353994	XO	2	6
009	no_adapter	37539	0.5216	0	XO	3	7
009	polyA	5878914	81.6803	326788235	XO	3	7
009	polyG	30736	0.427	3694137	XO	3	7
009	polyT5	1110719	15.4321	55206536	XO	3	7
009	rt	139562	1.939	17848501	XO	3	7
010	no_adapter	60598	0.5377	0	EpiLCs	2	23
010	polyA	9353569	83.003	521110782	EpiLCs	2	23
010	polyG	52128	0.4626	6274634	EpiLCs	2	23
010	polyT5	1377088	12.2202	67247084	EpiLCs	2	23
010	rt	425564	3.7764	58168118	EpiLCs	2	23
011	no_adapter	54711	0.4568	0	EpiLCs	4	26
011	polyA	10308419	86.0698	505704531	EpiLCs	4	26
011	polyG	56237	0.4695	6734397	EpiLCs	4	26
011	polyT5	1321966	11.0377	58589802	EpiLCs	4	26
011	rt	235482	1.9661	28491832	EpiLCs	4	26
012	no_adapter	57804	0.54	0	EpiLCs	3	25
012	polyA	9182109	85.7841	441716617	EpiLCs	3	25
012	polyG	44929	0.4198	5382528	EpiLCs	3	25
012	polyT5	1220477	11.4023	57589305	EpiLCs	3	25
012	rt	198428	1.8538	24352911	EpiLCs	3	25
013	no_adapter	45788	0.5401	0	EpiLCs	1	10
013	polyA	7237655	85.3687	330330039	EpiLCs	1	10
013	polyG	43358	0.5114	5184579	EpiLCs	1	10
013	polyT5	1017230	11.9983	44638171	EpiLCs	1	10
013	rt	134087	1.5816	16597656	EpiLCs	1	10
014	no_adapter	5979	0.6603	0	Blank control	2	46
014	polyA	326245	36.0282	16661534	Blank control	2	46
014	polyG	2533	0.2797	304139	Blank control	2	46
014	polyT5	566886	62.6028	23866004	Blank control	2	46
014	rt	3885	0.429	512487	Blank control	2	46
015	no_adapter	7784	0.7919	0	Blank control	3	47
015	polyA	405621	41.2666	20673712	Blank control	3	47
015	polyG	2969	0.3021	351347	Blank control	3	47
015	polyT5	561640	57.1395	24979741	Blank control	3	47
015	rt	4913	0.4998	521944	Blank control	3	47
016	no_adapter	2754	0.5206	0	Blank control	4	48
016	polyA	218687	41.3421	13237293	Blank control	4	48
016	polyG	1489	0.2815	178402	Blank control	4	48
016	polyT5	301187	56.9385	16249736	Blank control	4	48
016	rt	4852	0.9173	678504	Blank control	4	48
