genotype	length	reads	pct
XY	0	2328891	7.804421886111098
XY	1	730435	2.4477843318478882
XY	2	357183	1.1969674933463268
XY	3	361348	1.2109249594345433
XY	4	542555	1.818173592675229
XY	5	788048	2.6408531178599937
XY	6	1278078	4.283008485737246
XY	7	1765773	5.9173389596610795
XY	8	1535476	5.145583241121343
XY	9	1804792	6.048096791424855
XY	10	960548	3.2189234420418313
XY	11	733736	2.4588464196167243
XY	12	607853	2.0369958305211746
XY	13	466432	1.5630753475291765
XY	14	409400	1.3719535693915617
XY	15	305127	1.0225209496036616
XY	16	297545	0.9971126643981735
XY	17	260777	0.8738982314734326
XY	18	240080	0.8045398459685543
XY	19	253877	0.850775418506159
XY	20	183974	0.6165212163537938
XY	21	190260	0.6375864340802113
XY	22	152378	0.5106388397575656
XY	23	141411	0.4738869716688572
XY	24	127124	0.4260093442973446
XY	25	111864	0.3748710651842151
XY	26	106025	0.35530380360219915
XY	27	101395	0.3397880609879272
XY	28	92859	0.31118279555479
XY	29	83062	0.2783517522735757
XY	30	75383	0.25261840723362017
XY	31	65544	0.21964661639521377
XY	32	65780	0.2204374836213408
XY	33	59090	0.1980184084400278
XY	34	54913	0.18402072876404207
XY	35	51342	0.17205383527039952
XY	36	47071	0.1577411491568886
XY	37	43786	0.14673267950507798
XY	38	45338	0.15193363685655747
XY	39	44129	0.14788211788881345
XY	40	43659	0.14630708570118758
XY	41	51263	0.1717890958175858
XY	42	49086	0.16449368076979531
XY	43	46418	0.15555285975578287
XY	44	45718	0.15320706713591456
XY	45	45845	0.15363266093980496
XY	46	49768	0.16677915300800988
XY	47	52338	0.17539156305524073
XY	48	62359	0.2089732599748129
XY	49	71288	0.23889552040739045
XY	50	52581	0.17620588820756644
XY	51	49795	0.1668696335804905
XY	52	49372	0.1654521046116272
XY	53	46750	0.1566654356840633
XY	54	47092	0.15781152293548467
XY	55	50287	0.16851839067902655
XY	56	43702	0.14645118439069377
XY	57	46922	0.1572418304420881
XY	58	49209	0.1649058700444293
XY	59	50447	0.16905457184928216
XY	60	46009	0.15418224663931696
XY	61	44067	0.1476743476853394
XY	62	43670	0.14634394815664264
XY	63	41287	0.13835819985214803
XY	64	42560	0.1426241912879943
XY	65	41799	0.14007397959696602
XY	66	45731	0.15325063185599783
XY	67	55774	0.1869060536864801
XY	68	59959	0.20093054242097863
XY	69	72386	0.24257506368826964
XY	70	56531	0.18944286084825201
XY	71	54516	0.18269032923534534
XY	72	57997	0.1943556208207191
XY	73	59290	0.19868863490284733
XY	74	62489	0.2094089071756456
XY	75	59228	0.19848086469937326
XY	76	59859	0.20059542918956885
XY	77	55144	0.18479484032859864
XY	78	54378	0.18222787297599985
XY	79	62283	0.20871857391894147
XY	80	76779	0.25729658794410043
