genotype	adapter	reads	bases_removed	pct
XY	no_adapter	91194	0	0.6216127713838637
XY	polyA	11215677	588379138	76.45029347233655
XY	polyG	61975	7481776	0.4224450238668658
XY	polyT5	3000221	131974035	20.450640289646984
XY	rt	301481	40428671	2.0550084427657374
XO	no_adapter	152312	0	0.56897212469168
XO	polyA	21810903	1162432193	81.47615303688573
XO	polyG	117314	14119917	0.4382346488528793
XO	polyT5	4045099	186972665	15.110750122237187
XO	rt	644049	84051714	2.405890067332527
EpiLCs	no_adapter	218901	0	0.5159397672653245
EpiLCs	polyA	36081752	1798861969	85.04305932547206
EpiLCs	polyG	196652	23576138	0.4634998794535457
EpiLCs	polyT5	4936761	228064362	11.635722638930526
EpiLCs	rt	993561	127610517	2.3417783888785486
Blank control	no_adapter	23931	0	0.758267319093628
Blank control	polyA	1389590	75285126	44.029947931106705
Blank control	polyG	9336	1116930	0.29581645944833523
Blank control	polyT5	1712851	78174031	54.272656210640584
Blank control	rt	20303	2654731	0.6433120797107488
