genotype	n_cells	demultiplexed	lost_pass1	lost_pass2	kept	lost_total	pct_pass1	pct_pass2	pct_lost	pct_kept
XY	4	31073873	1233213	14670548	15170112	15903761	3.9686491606630434	47.211842566261375	51.180491726924416	48.819508273075584
XO	4	58676637	2752349	26769677	29154611	29522026	4.690706796982929	45.622377778740116	50.313084575723046	49.686915424276954
EpiLCs	4	99193935	4152652	42427627	52613656	46580279	4.18639708163609	42.77240034887214	46.95879743050823	53.04120256949177
Blank control	4	5048616	556212	3156011	1336393	3712223	11.017118354812487	62.51239943778651	73.529517792599	26.470482207400998
