biotype	reads	UFIs	transcripts	n_entries	read_per_UFI	pct_of_reads	pct_of_UFIs	pct_of_transcripts	pct_read_minus_pct_UFI	share_ratio_read_over_UFI	read_per_UFI_cell_min	read_per_UFI_cell_max
ProteinCoding-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	415	263	263.033	142	1.57795	0.00101418	0.00172842	0.00159221	-0.000714232	0.58677	1.03448	2.09091
TranscribedUnitaryPseudogene-lncRNA	414	328	328.729	56	1.2622	0.00101174	0.00215559	0.00198989	-0.00114385	0.469356	1	1.75
ProcessedPseudogene-ProteinCoding-TranscribedUnitaryPseudogene-TranscribedUnprocessedPseudogene-lncRNA	358	282	282.107	22	1.2695	0.000874886	0.00185328	0.00170767	-0.000978396	0.472074	1	1.42857
ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene-UnprocessedPseudogene-lncRNA	357	265	265.034	89	1.34717	0.000872442	0.00174156	0.00160432	-0.000869117	0.500954	1.14286	1.53659
ProteinCoding-UnitaryPseudogene	350	298	298.152	187	1.1745	0.000855335	0.00195843	0.0018048	-0.0011031	0.436745	1.03125	1.61111
ProteinCoding-TranscribedUnprocessedPseudogene	327	199	199.007	135	1.64322	0.000799127	0.00130781	0.00120464	-0.000508685	0.611041	1	2.68421
UnprocessedPseudogene-lncRNA	307	227	227.066	127	1.35242	0.000750251	0.00149183	0.00137449	-0.000741575	0.502908	1	1.625
TranscribedUnprocessedPseudogene-UnprocessedPseudogene	271	134	134.007	72	2.02239	0.000662274	0.000880637	0.000811181	-0.000218364	0.752039	1.4	2.66667
UnitaryPseudogene-lncRNA	178	133	133.023	66	1.33835	0.000434999	0.000874065	0.000805224	-0.000439067	0.497673	1	2.14286
ProteinCoding-TranscribedUnprocessedPseudogene-UnprocessedPseudogene	94	64	64.0012	35	1.46875	0.000229719	0.000420603	0.000387417	-0.000190884	0.546165	1	4
ProcessedPseudogene-ProteinCoding-TranscribedUnprocessedPseudogene-lncRNA	90	61	61.0037	26	1.47541	0.000219943	0.000400887	0.000369272	-0.000180944	0.548641	1	2
ProteinCoding-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	85	53	53.0015	30	1.60377	0.000207724	0.000348312	0.000320832	-0.000140588	0.596374	1	4
TranslatedUnprocessedPseudogene	76	44	44.0276	2	1.72727	0.00018573	0.000289165	0.000266511	-0.000103435	0.642298	1	4.66667
TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	65	32	32.002	12	2.03125	0.000158848	0.000210301	0.000193717	-5.14535e-05	0.755334	1	4.4
ProteinCoding-TranscribedProcessedPseudogene-UnprocessedPseudogene-lncRNA	63	37	37.0027	12	1.7027	0.00015396	0.000243161	0.000223987	-8.92008e-05	0.633162	1	3
ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	60	44	44.0024	17	1.36364	0.000146629	0.000289165	0.000266359	-0.000142536	0.507078	1	1.66667
ProcessedPseudogene-TranscribedProcessedPseudogene-UnprocessedPseudogene-lncRNA	45	36	36.0193	7	1.25	0.000109972	0.000236589	0.000218035	-0.000126618	0.464821	1	1.66667
ProcessedPseudogene-ProteinCoding-TranscribedUnitaryPseudogene-lncRNA	44	33	33.0046	9	1.33333	0.000107528	0.000216873	0.000199786	-0.000109346	0.495809	1	3
TranscribedProcessedPseudogene-UnprocessedPseudogene-lncRNA	36	25	25.0093	3	1.44	8.79773e-05	0.000164298	0.000151388	-7.63207e-05	0.535474	1	3
ProcessedPseudogene-UnprocessedPseudogene	28	18	18	13	1.55556	6.84268e-05	0.000118295	0.000108959	-4.98678e-05	0.578444	1	2.5
ProcessedPseudogene-ProteinCoding-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	25	20	20.0044	3	1.25	6.10954e-05	0.000131438	0.000121092	-7.03431e-05	0.464821	1	1.5
IgVGene	23	21	21.001	18	1.09524	5.62077e-05	0.00013801	0.000127125	-8.18026e-05	0.407272	1	1.25
IgVPseudogene	21	16	16	9	1.3125	5.13201e-05	0.000105151	9.68524e-05	-5.38306e-05	0.488062	1	2
TrVGene	20	18	18.0005	14	1.11111	4.88763e-05	0.000118295	0.000108962	-6.94183e-05	0.413174	1	1.5
ProcessedPseudogene-TranscribedUnprocessedPseudogene	19	11	11.0005	4	1.72727	4.64325e-05	7.22911e-05	6.6589e-05	-2.58587e-05	0.642298	1	3
IgCGene	16	16	16.0007	8	1	3.9101e-05	0.000105151	9.68568e-05	-6.60497e-05	0.371857	1	1
ProteinCoding-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	15	10	10	8	1.5	3.66572e-05	6.57192e-05	6.05327e-05	-2.9062e-05	0.557785	1	3
TrVPseudogene	14	8	8.00024	7	1.75	3.42134e-05	5.25754e-05	4.84277e-05	-1.8362e-05	0.65075	1	3.5
ProteinCoding-TranscribedProcessedPseudogene-UnprocessedPseudogene	13	7	7.00024	4	1.85714	3.17696e-05	4.60034e-05	4.23744e-05	-1.42339e-05	0.690591	1	5
ProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene	8	4	4.00024	1	2	1.95505e-05	2.62877e-05	2.42146e-05	-6.73717e-06	0.743714	1	4
pseudogene	8	6	6.00024	1	1.33333	1.95505e-05	3.94315e-05	3.63211e-05	-1.9881e-05	0.495809	1	2
ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	7	7	7	7	1	1.71067e-05	4.60034e-05	4.23729e-05	-2.88967e-05	0.371857	1	1
TrCGene	6	6	6	6	1	1.46629e-05	3.94315e-05	3.63196e-05	-2.47686e-05	0.371857	1	1
ProteinCoding-TranscribedUnitaryPseudogene-UnitaryPseudogene-lncRNA	6	3	3	3	2	1.46629e-05	1.97158e-05	1.81598e-05	-5.05288e-06	0.743714	1	3
TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene	5	1	1	1	5	1.22191e-05	6.57192e-06	6.05327e-06	5.64715e-06	1.85928	5	5
ProcessedPseudogene-ProteinCoding-UnitaryPseudogene-lncRNA	5	3	3	3	1.66667	1.22191e-05	1.97158e-05	1.81598e-05	-7.49669e-06	0.619762	1	3
ProcessedPseudogene-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	4	3	3.00024	2	1.33333	9.77526e-06	1.97158e-05	1.81613e-05	-9.94051e-06	0.495809	1	1.5
ProteinCoding-TranscribedUnitaryPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	4	2	2	2	2	9.77526e-06	1.31438e-05	1.21065e-05	-3.36859e-06	0.743714	1	3
TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	4	1	1	1	4	9.77526e-06	6.57192e-06	6.05327e-06	3.20334e-06	1.48743	4	4
ProteinCoding-TranscribedUnprocessedPseudogene-UnitaryPseudogene-lncRNA	4	4	4	4	1	9.77526e-06	2.62877e-05	2.42131e-05	-1.65124e-05	0.371857	1	1
ProcessedPseudogene-ProteinCoding-UnprocessedPseudogene-lncRNA	3	3	3	3	1	7.33144e-06	1.97158e-05	1.81598e-05	-1.23843e-05	0.371857	1	1
ProteinCoding-TrCGene-lncRNA	2	2	2	3	1	4.88763e-06	1.31438e-05	1.21065e-05	-8.25621e-06	0.371857	1	1
ProcessedPseudogene-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	2	2	2	1	1	4.88763e-06	1.31438e-05	1.21065e-05	-8.25621e-06	0.371857	1	1
IgVGene-IgVPseudogene	2	2	2	2	1	4.88763e-06	1.31438e-05	1.21065e-05	-8.25621e-06	0.371857	1	1
ProcessedPseudogene-ProteinCoding-TranscribedUnprocessedPseudogene	2	1	1	1	2	4.88763e-06	6.57192e-06	6.05327e-06	-1.68429e-06	0.743714	2	2
TranscribedUnprocessedPseudogene-UnitaryPseudogene-lncRNA	2	1	1	1	2	4.88763e-06	6.57192e-06	6.05327e-06	-1.68429e-06	0.743714	2	2
TranscribedUnitaryPseudogene-TranscribedUnprocessedPseudogene-lncRNA	2	2	2	1	1	4.88763e-06	1.31438e-05	1.21065e-05	-8.25621e-06	0.371857	1	1
UnitaryPseudogene-UnprocessedPseudogene-lncRNA	2	1	1	1	2	4.88763e-06	6.57192e-06	6.05327e-06	-1.68429e-06	0.743714	2	2
IgCPseudogene	1	1	1	1	1	2.44381e-06	6.57192e-06	6.05327e-06	-4.12811e-06	0.371857	1	1
ProteinCoding-UnitaryPseudogene-UnprocessedPseudogene-lncRNA	1	1	1	1	1	2.44381e-06	6.57192e-06	6.05327e-06	-4.12811e-06	0.371857	1	1
ProteinCoding-UnitaryPseudogene-UnprocessedPseudogene	1	1	1	1	1	2.44381e-06	6.57192e-06	6.05327e-06	-4.12811e-06	0.371857	1	1
ProteinCoding-TranscribedUnprocessedPseudogene-UnitaryPseudogene	1	1	1	1	1	2.44381e-06	6.57192e-06	6.05327e-06	-4.12811e-06	0.371857	1	1
ProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	1	1	1	1	1	2.44381e-06	6.57192e-06	6.05327e-06	-4.12811e-06	0.371857	1	1
