level	key	biotype	reads	UFIs	transcripts	read_per_UFI	read_per_transcript	pct_of_reads__or__rRNApct_strandedY	pct_of_UFIs__or__rRNApct_strandedN	pct_of_transcripts__or__fwd_share_of_ribo	share_ratio_read_over_UFI__or__n_over_y	genes_det_reads	genes_det_UFIs
biotype	ProteinCoding-UnitaryPseudogene-lncRNA	ProteinCoding-UnitaryPseudogene-lncRNA	1872	1071	1073.66	1.7479	1.74358	0.00457482	0.00703853	0.00649913	0.649968		
biotype	ProteinCoding-TranscribedUnitaryPseudogene	ProteinCoding-TranscribedUnitaryPseudogene	1822	988	989.839	1.84413	1.8407	0.00445263	0.00649306	0.00599177	0.685752		
biotype	MtTrna	MtTrna	1724	1304	1305.9	1.32209	1.32016	0.00421314	0.00856979	0.00790496	0.491627		
biotype	TranscribedUnitaryPseudogene	TranscribedUnitaryPseudogene	1688	1078	1080.22	1.56586	1.56265	0.00412516	0.00708453	0.00653884	0.582277		
biotype	ProcessedPseudogene-ProteinCoding-UnprocessedPseudogene	ProcessedPseudogene-ProteinCoding-UnprocessedPseudogene	1608	977	980.032	1.64585	1.64076	0.00392965	0.00642077	0.0059324	0.612022		
biotype	ProteinCoding-UnprocessedPseudogene-lncRNA	ProteinCoding-UnprocessedPseudogene-lncRNA	1171	806	806.328	1.45285	1.45226	0.00286171	0.00529697	0.00488092	0.540254		
biotype	ProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	ProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	859	383	383.535	2.24282	2.23969	0.00209924	0.00251705	0.00232164	0.834008		
biotype	ProcessedPseudogene-lncRNA	ProcessedPseudogene-lncRNA	818	511	511.267	1.60078	1.59995	0.00199904	0.00335825	0.00309484	0.595262		
biotype	TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	549	250	250.292	2.196	2.19344	0.00134165	0.00164298	0.00151508	0.816598		
biotype	ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene-UnprocessedPseudogene	ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene-UnprocessedPseudogene	548	396	396.13	1.38384	1.38338	0.00133921	0.00260248	0.00239788	0.51459		
biotype	ProteinCoding-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	ProteinCoding-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	415	263	263.033	1.57795	1.57775	0.00101418	0.00172842	0.00159221	0.58677		
biotype	TranscribedUnitaryPseudogene-lncRNA	TranscribedUnitaryPseudogene-lncRNA	414	328	328.729	1.2622	1.25939	0.00101174	0.00215559	0.00198989	0.469356		
biotype	ProcessedPseudogene-ProteinCoding-TranscribedUnitaryPseudogene-TranscribedUnprocessedPseudogene-lncRNA	ProcessedPseudogene-ProteinCoding-TranscribedUnitaryPseudogene-TranscribedUnprocessedPseudogene-lncRNA	358	282	282.107	1.2695	1.26902	0.000874886	0.00185328	0.00170767	0.472074		
biotype	ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene-UnprocessedPseudogene-lncRNA	ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene-UnprocessedPseudogene-lncRNA	357	265	265.034	1.34717	1.347	0.000872442	0.00174156	0.00160432	0.500954		
biotype	ProteinCoding-UnitaryPseudogene	ProteinCoding-UnitaryPseudogene	350	298	298.152	1.1745	1.1739	0.000855335	0.00195843	0.0018048	0.436745		
biotype	ProteinCoding-TranscribedUnprocessedPseudogene	ProteinCoding-TranscribedUnprocessedPseudogene	327	199	199.007	1.64322	1.64316	0.000799127	0.00130781	0.00120464	0.611041		
biotype	UnprocessedPseudogene-lncRNA	UnprocessedPseudogene-lncRNA	307	227	227.066	1.35242	1.35203	0.000750251	0.00149183	0.00137449	0.502908		
biotype	TranscribedUnprocessedPseudogene-UnprocessedPseudogene	TranscribedUnprocessedPseudogene-UnprocessedPseudogene	271	134	134.007	2.02239	2.02228	0.000662274	0.000880637	0.000811181	0.752039		
biotype	UnitaryPseudogene-lncRNA	UnitaryPseudogene-lncRNA	178	133	133.023	1.33835	1.33811	0.000434999	0.000874065	0.000805224	0.497673		
biotype	ProteinCoding-TranscribedUnprocessedPseudogene-UnprocessedPseudogene	ProteinCoding-TranscribedUnprocessedPseudogene-UnprocessedPseudogene	94	64	64.0012	1.46875	1.46872	0.000229719	0.000420603	0.000387417	0.546165		
biotype	ProcessedPseudogene-ProteinCoding-TranscribedUnprocessedPseudogene-lncRNA	ProcessedPseudogene-ProteinCoding-TranscribedUnprocessedPseudogene-lncRNA	90	61	61.0037	1.47541	1.47532	0.000219943	0.000400887	0.000369272	0.548641		
biotype	ProteinCoding-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	ProteinCoding-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	85	53	53.0015	1.60377	1.60373	0.000207724	0.000348312	0.000320832	0.596374		
biotype	TranslatedUnprocessedPseudogene	TranslatedUnprocessedPseudogene	76	44	44.0276	1.72727	1.72619	0.00018573	0.000289165	0.000266511	0.642298		
biotype	TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	65	32	32.002	2.03125	2.03113	0.000158848	0.000210301	0.000193717	0.755334		
biotype	ProteinCoding-TranscribedProcessedPseudogene-UnprocessedPseudogene-lncRNA	ProteinCoding-TranscribedProcessedPseudogene-UnprocessedPseudogene-lncRNA	63	37	37.0027	1.7027	1.70258	0.00015396	0.000243161	0.000223987	0.633162		
biotype	ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	60	44	44.0024	1.36364	1.36356	0.000146629	0.000289165	0.000266359	0.507078		
