well	reads
001	115348
002	75718
003	472285
004	698456
005	1457759
006	585282
007	174175
008	300957
009	9621
010	418569
011	1321463
012	1190126
013	621647
014	74492
015	1148279
016	412435
017	644277
018	392779
019	93894
020	1053826
021	167174
022	560689
023	909817
024	9337
025	720940
026	223667
027	489620
028	14047
029	1820
030	13911
031	2608
032	186831
033	1164162
034	205270
035	1578973
036	369187
037	426359
038	126922
039	456815
040	51040
041	143514
042	149827
043	1346095
044	176495
045	424414
046	68437
047	459672
048	5396
049	88401
050	113635
051	90193
052	1954
053	137970
054	89315
055	155328
056	960682
057	1082421
058	123900
059	968126
060	282853
061	144355
062	278593
063	381527
064	259269
065	653085
066	416033
067	100830
068	202942
069	789725
070	206945
071	52859
072	4020
073	992270
074	2916
075	179812
076	426351
077	1040877
078	384940
079	1211696
080	428559
081	1072098
082	143752
083	195279
084	115836
085	700069
086	170291
087	301812
088	461968
089	474041
090	686449
091	618556
092	368753
093	2148328
094	345765
095	577302
096	1879
097	78078
098	153052
099	295440
100	437583
101	602399
102	2673
103	196892
104	161061
105	592525
106	228119
107	670039
108	385275
109	756160
110	270849
111	365441
112	577635
113	1034047
114	197780
115	284217
116	585899
117	695807
118	83908
119	384285
120	2331
121	2495211
122	200682
123	864268
124	415002
125	420487
126	35220
127	592451
128	474815
129	1009794
130	61784
131	1185164
132	248381
133	587107
134	123960
135	1221786
136	196479
137	307828
138	153787
139	1158808
140	301828
141	866138
142	411328
143	427070
144	2599
145	208562
146	91160
147	382413
148	291087
149	506289
150	207747
151	852525
152	63252
153	581784
154	452827
155	372470
156	262633
157	498187
158	301381
159	34172
160	310460
161	516526
162	221002
163	288667
164	143349
165	202165
166	90572
167	716667
168	3977
169	402851
170	117381
171	42060
172	199285
173	962077
174	139003
175	517822
176	172855
177	71688
178	218445
179	732264
180	388888
181	2253
182	180689
183	348777
184	333260
185	847859
186	653445
187	737310
188	255761
189	403541
190	322101
191	925684
192	2161
193	1168724
194	53464
195	59748
196	130406
197	282855
198	242000
199	593372
200	327318
201	234447
202	731054
203	920496
204	327712
205	113798
206	41431
207	39005
208	446524
209	346474
210	440158
211	485172
212	5164
213	462801
214	84135
215	210992
216	2372
217	2284635
218	360471
219	1429016
220	599017
221	1715996
222	377244
223	1644312
224	84313
225	3278959
226	156931
227	825502
228	36693
229	1211001
230	116602
231	716473
232	197601
233	969756
234	315315
235	278599
236	90926
237	886061
238	49392
239	6076
240	1996
241	3841
242	303211
243	1294549
244	348731
245	25087
246	253273
247	376692
248	607996
249	733266
250	433138
251	1130399
252	595865
253	928981
254	599679
255	391414
256	383492
257	362263
258	422452
259	2490435
260	351742
261	816295
262	207072
263	255874
264	1868
265	822037
266	989874
267	1826
268	229956
269	1207702
270	334436
271	723885
272	307557
273	478991
274	185688
275	1092791
276	681810
277	390107
278	117812
279	872881
280	32878
281	742888
282	537095
283	119095
284	296422
285	1575665
286	406457
287	849484
288	2997
289	77806
290	87823
291	188700
292	71594
293	405734
294	612438
295	28923
296	724889
297	1540119
298	59992
299	965890
300	945931
301	340716
302	345843
303	1417212
304	83745
305	334584
306	121915
307	721180
308	520063
309	686098
310	562195
311	488403
312	8477
313	237470
314	671673
315	831934
316	90554
317	523302
318	877835
319	1140368
320	2918200
321	1703343
322	1100523
323	737463
324	234070
325	245647
326	385690
327	1302602
328	310040
329	770874
330	151865
331	1261719
332	161279
333	1847909
334	422940
335	698025
336	24966
337	75817
338	128614
339	1220225
340	1211954
341	446948
342	576652
343	941643
344	462550
345	662313
346	170250
347	718817
348	926607
349	503348
350	451154
351	533967
352	885985
353	533435
354	500249
355	1155249
356	1202467
357	942168
358	599775
359	615849
360	43215
361	739229
362	590358
363	1058426
364	228364
365	816555
366	104029
367	2262863
368	1036686
369	1486715
370	1521982
371	2316444
372	778265
373	1755923
374	1095519
375	651747
376	1257905
377	252931
378	379442
379	1716876
380	400588
381	1298491
382	97423
383	974309
384	6854
