group	n_wells	total_reads	mean_reads	sd_reads	sem_reads	median_reads	min_reads	max_reads	pct_of_library
Human (HEK293T)	178	135549069	761511.6235955056	580973.1449722119	43545.77826122595	657699	25087	3278959	67.29542940105922
Mouse (mESC)	173	65611308	379256.1156069364	292005.0222781866	22200.730737815196	310040	32878	1521982	32.57374748494327
Below UFI cutoff	31	263509	8500.290322580646	11125.509963423545	1998.2005771825793	3841	1820	43215	0.13082311399751267
