genotype	replicate	cell	seq_no	demultiplexed	lost_pass1	lost_pass2	kept	pct_lost	pct_kept	anchor_bases
XY	1	002	1	5371874	173536	2415678	2782660	48.19945516220224	51.80054483779776	41071931
XY	2	003	2	10385044	467216	4929033	4988795	51.961734586776906	48.038265413223094	93606642
XY	3	004	3	8419302	326033	4274905	3818364	54.64749928200699	45.35250071799301	96806125
XY	4	005	4	6897653	236428	3394570	3266655	52.641065011533634	47.358934988466366	59127213
XO	1	007	5	19753564	1005059	8809384	9939121	49.68441644252146	50.31558355747854	165820584
XO	2	008	6	12783234	570996	5992183	6220055	51.34208604802196	48.65791395197804	132189806
XO	3	009	7	15526767	649316	7296306	7581145	51.17370538245341	48.82629461754659	115543193
XO	4	006	9	10613072	466667	5131638	5014767	52.74914746644515	47.25085253355485	89713232
EpiLCs	1	013	10	20696031	857333	8604348	11234350	45.71736967344125	54.28263032655875	233100814
EpiLCs	2	010	23	26589619	887593	11417145	14284881	46.27647353653319	53.72352646346681	175665455
EpiLCs	3	012	25	23810592	992884	10837427	11980281	49.685077128699696	50.314922871300304	250741603
EpiLCs	4	011	26	28097693	1310353	12167717	14619623	47.96860012670791	52.03139987329209	280619635
Blank control	1	001	31	1154910	92476	767587	294847	74.47013187174758	25.529868128252417	20118680
Blank control	2	014	46	1449778	165311	978694	305773	78.90897778832345	21.091022211676545	30311895
Blank control	3	015	47	1641753	221556	1042330	377867	76.983931200369355	23.016068799630638	33160533
Blank control	4	016	48	802175	72361	572353	157461	80.37074204506499	19.62925795493502	12562221
