genotype	n_cells	demultiplexed	lost_pass1	lost_pass2	kept	lost_total	pct_pass1	pct_pass2	pct_lost	pct_kept
XY	4	31073873	1203213	15014186	14856474	16217399	3.872105031773799	48.31771694503611	52.18982197680991	47.81017802319009
XO	4	58676637	2692038	27229511	28755088	29921549	4.587921424331118	46.406052548648965	50.99397397298008	49.00602602701992
EpiLCs	4	99193935	4048163	43026637	52119135	47074800	4.081058988132692	43.37627799522219	47.45733698335488	52.54266301664512
Blank control	4	5048616	551704	3360964	1135948	3912668	10.927826556822701	66.57198725353642	77.49981381035911	22.500186189640885
