genotype	replicate	cell	seq_no	demultiplexed	fate	reads	pct
XY	1	002	1	5371874	Kept	2782660	51.80054483779776
XY	1	002	1	5371874	Lost at pass 2 (cutadapt -m 20)	2415678	44.968999645188994
XY	1	002	1	5371874	Lost at pass 1 (TrimGalore --length 20)	173536	3.2304555170132434
XY	2	003	2	10385044	Kept	4988795	48.038265413223094
XY	2	003	2	10385044	Lost at pass 2 (cutadapt -m 20)	4929033	47.46280323896558
XY	2	003	2	10385044	Lost at pass 1 (TrimGalore --length 20)	467216	4.498931347811333
XY	3	004	3	8419302	Kept	3818364	45.35250071799301
XY	3	004	3	8419302	Lost at pass 2 (cutadapt -m 20)	4274905	50.77505237370034
XY	3	004	3	8419302	Lost at pass 1 (TrimGalore --length 20)	326033	3.8724469083066504
XY	4	005	4	6897653	Kept	3266655	47.358934988466366
XY	4	005	4	6897653	Lost at pass 2 (cutadapt -m 20)	3394570	49.21340635720585
XY	4	005	4	6897653	Lost at pass 1 (TrimGalore --length 20)	236428	3.4276586543277836
XO	1	007	5	19753564	Kept	9939121	50.31558355747854
XO	1	007	5	19753564	Lost at pass 2 (cutadapt -m 20)	8809384	44.59642826985551
XO	1	007	5	19753564	Lost at pass 1 (TrimGalore --length 20)	1005059	5.0879881726659555
XO	2	008	6	12783234	Kept	6220055	48.65791395197804
XO	2	008	6	12783234	Lost at pass 2 (cutadapt -m 20)	5992183	46.87532904427784
XO	2	008	6	12783234	Lost at pass 1 (TrimGalore --length 20)	570996	4.466757003744123
XO	3	009	7	15526767	Kept	7581145	48.82629461754659
XO	3	009	7	15526767	Lost at pass 2 (cutadapt -m 20)	7296306	46.99179165888172
XO	3	009	7	15526767	Lost at pass 1 (TrimGalore --length 20)	649316	4.181913723571688
XO	4	006	9	10613072	Kept	5014767	47.25085253355485
XO	4	006	9	10613072	Lost at pass 2 (cutadapt -m 20)	5131638	48.35205113090724
XO	4	006	9	10613072	Lost at pass 1 (TrimGalore --length 20)	466667	4.39709633553791
EpiLCs	1	013	10	20696031	Kept	11234350	54.28263032655875
EpiLCs	1	013	10	20696031	Lost at pass 2 (cutadapt -m 20)	8604348	41.574870080161745
EpiLCs	1	013	10	20696031	Lost at pass 1 (TrimGalore --length 20)	857333	4.142499593279504
EpiLCs	2	010	23	26589619	Kept	14284881	53.72352646346681
EpiLCs	2	010	23	26589619	Lost at pass 2 (cutadapt -m 20)	11417145	42.938355002378934
EpiLCs	2	010	23	26589619	Lost at pass 1 (TrimGalore --length 20)	887593	3.3381185341542503
EpiLCs	3	012	25	23810592	Kept	11980281	50.314922871300304
EpiLCs	3	012	25	23810592	Lost at pass 2 (cutadapt -m 20)	10837427	45.51515140824722
EpiLCs	3	012	25	23810592	Lost at pass 1 (TrimGalore --length 20)	992884	4.169925720452477
EpiLCs	4	011	26	28097693	Kept	14619623	52.03139987329209
EpiLCs	4	011	26	28097693	Lost at pass 2 (cutadapt -m 20)	12167717	43.30503931408177
EpiLCs	4	011	26	28097693	Lost at pass 1 (TrimGalore --length 20)	1310353	4.663560812626147
Blank control	1	001	31	1154910	Kept	294847	25.529868128252417
Blank control	1	001	31	1154910	Lost at pass 2 (cutadapt -m 20)	767587	66.46292784719155
Blank control	1	001	31	1154910	Lost at pass 1 (TrimGalore --length 20)	92476	8.007204024556026
Blank control	2	014	46	1449778	Kept	305773	21.091022211676545
Blank control	2	014	46	1449778	Lost at pass 2 (cutadapt -m 20)	978694	67.50647340489371
Blank control	2	014	46	1449778	Lost at pass 1 (TrimGalore --length 20)	165311	11.402504383429738
Blank control	3	015	47	1641753	Kept	377867	23.016068799630638
Blank control	3	015	47	1641753	Lost at pass 2 (cutadapt -m 20)	1042330	63.48884393693814
Blank control	3	015	47	1641753	Lost at pass 1 (TrimGalore --length 20)	221556	13.495087263431223
Blank control	4	016	48	802175	Kept	157461	19.62925795493502
Blank control	4	016	48	802175	Lost at pass 2 (cutadapt -m 20)	572353	71.35014180197588
Blank control	4	016	48	802175	Lost at pass 1 (TrimGalore --length 20)	72361	9.0206002430891
