genotype	demultiplexed	fate	reads	pct
XY	31073873	Kept	14856474	47.81017802319009
XY	31073873	Lost at pass 2 (cutadapt -m 20)	15014186	48.31771694503611
XY	31073873	Lost at pass 1 (TrimGalore --length 20)	1203213	3.872105031773799
XO	58676637	Kept	28755088	49.00602602701992
XO	58676637	Lost at pass 2 (cutadapt -m 20)	27229511	46.406052548648965
XO	58676637	Lost at pass 1 (TrimGalore --length 20)	2692038	4.587921424331118
EpiLCs	99193935	Kept	52119135	52.54266301664512
EpiLCs	99193935	Lost at pass 2 (cutadapt -m 20)	43026637	43.37627799522219
EpiLCs	99193935	Lost at pass 1 (TrimGalore --length 20)	4048163	4.081058988132692
Blank control	5048616	Kept	1135948	22.500186189640885
Blank control	5048616	Lost at pass 2 (cutadapt -m 20)	3360964	66.57198725353642
Blank control	5048616	Lost at pass 1 (TrimGalore --length 20)	551704	10.927826556822701
