	published	v3	bedv2
IgCGene	1.813126952103133e-05	0.00012129721713185721	0.00012102409436037325
IgCPseudogene	1.813126952103133e-05	1.73281738759796e-05	1.728915633719618e-05
IgPseudogene	0.0	1.9253526528866224e-06	1.9210173707995754e-06
IgVGene	0.0006563519566613341	0.0008336776986999076	0.0008356425562978153
IgVPseudogene	0.00016318142568928198	0.00020793808651175524	0.00020746987604635414
MiscRna	0.5043085698388217	0.6034363270571137	0.6020775802865197
MtRrna	0.031180344195317577	0.013591064376726667	0.013560461620474204
MtTrna	0.0015048953702456003	0.0015922666439372368	0.001588681365651249
PolymorphicPseudogene	0.05021817719240047	0.05214625125078129	0.052028834470735696
ProcessedPseudogene	0.5161682332325284	0.6035441468056753	0.6022677610062288
ProteinCoding	81.64260635113713	86.05568154528495	85.86507734496189
RrnaPseudogene	0.00038982229470217364	0.00037736911996577805	0.0003765194046767168
TrCGene	1.994439647313446e-05	3.46563477519592e-05	3.457831267439236e-05
TrJGene	0.0	1.9253526528866224e-06	1.9210173707995754e-06
TrVGene	4.895442770678459e-05	9.434227999144451e-05	9.41298511691792e-05
TrVPseudogene	1.994439647313446e-05	4.2357758363505695e-05	4.226238215759066e-05
TranscribedProcessedPseudogene	0.16787742449522908	0.18778927099929674	0.18737411333041978
TranscribedUnitaryPseudogene	0.06299165656996705	0.06640541299805962	0.06632120370948455
TranscribedUnprocessedPseudogene	0.38613258135464373	0.4157972335647421	0.4148840425889551
TranslatedProcessedPseudogene	0.0006744832261823655	0.0006603959599401115	0.0006589089581842544
TranslatedUnprocessedPseudogene	0.0010443611244114045	0.0010262129639885698	0.0010239022586361738
UnitaryPseudogene	0.002306297483075185	0.002676240187512405	0.0026702141454114097
UnprocessedPseudogene	0.13040009039525732	0.12981690262088053	0.12953035927827378
lncRNA	3.993109319806149	4.274496603552772	4.301847538456367
miRNA	0.0094336995317926	0.00925709555507888	0.009236251518804358
pseudogene	0.0035138400331758716	0.0036870503302778817	0.0036787482650811865
rRNA	0.0002955396931928107	0.0009511242105259915	0.1841736983906677
ribozyme	0.36682821869560167	0.38608904213070155	0.38521969234906805
scRNA	0.0040595912457589145	0.004330118116342014	0.004320368066928246
scaRNA	0.025797170274523377	0.02706083153632148	0.026999899146588034
snRNA	0.03950984941327937	0.07988673227357174	0.07970685274921598
snoRNA	0.2749878991907217	0.29368366690806097	0.29302622668965483
tRNA	0.02122809035522348	0.0	0.0
