dataset	class	biotype	reads	bed	pct
own library, 130 nt	Uniquely mapped	ProteinCoding	31570343	35349127	89.31010658339596
own library, 130 nt	Uniquely mapped	lncRNA	3135739	35349127	8.870767869316829
own library, 130 nt	Uniquely mapped	ribozyme	746019	35349127	2.1104311854717093
own library, 130 nt	Uniquely mapped	snoRNA	733337	35349127	2.074554769061199
own library, 130 nt	Uniquely mapped	MiscRna	698405	35349127	1.9757347897163062
own library, 130 nt	Uniquely mapped	snRNA	401834	35349127	1.1367579176707816
own library, 130 nt	Uniquely mapped	miRNA	142113	35349127	0.40202690154130255
own library, 130 nt	Uniquely mapped	ProcessedPseudogene	84964	35349127	0.24035671375986173
own library, 130 nt	Uniquely mapped	TEC	67292	35349127	0.19036396570698902
own library, 130 nt	Uniquely mapped	rRNA	42601	35349127	0.12051499885697319
own library, 130 nt	Uniquely mapped	TranscribedProcessedPseudogene	36761	35349127	0.10399408166430815
own library, 130 nt	Uniquely mapped	scaRNA	35736	35349127	0.10109443438306129
own library, 130 nt	Uniquely mapped	TranscribedUnprocessedPseudogene	22202	35349127	0.06280777457389541
own library, 130 nt	Uniquely mapped	MtRrna	9118	35349127	0.025794130644301343
own library, 130 nt	Uniquely mapped	tRNA	8759	35349127	0.024778546864820734
own library, 130 nt	Uniquely mapped	TranscribedUnitaryPseudogene	7257	35349127	0.020529502751227776
own library, 130 nt	Uniquely mapped	MtTrna	3467	35349127	0.009807880121056455
own library, 130 nt	Uniquely mapped	UnprocessedPseudogene	3448	35349127	0.009754130561696757
own library, 130 nt	Uniquely mapped	UnitaryPseudogene	2426	35349127	0.006862970052980375
own library, 130 nt	Uniquely mapped	TranslatedUnprocessedPseudogene	55	35349127	1.5559082972544131e-4
own library, 130 nt	Uniquely mapped	TrVPseudogene	12	35349127	3.394709012191447e-5
own library, 130 nt	Uniquely mapped	TrVGene	11	35349127	3.111816594508826e-5
own library, 130 nt	Uniquely mapped	IgVGene	8	35349127	2.2631393414609647e-5
own library, 130 nt	Uniquely mapped	TrCGene	6	35349127	1.6973545060957233e-5
own library, 130 nt	Uniquely mapped	sRNA	6	35349127	1.6973545060957233e-5
own library, 130 nt	Uniquely mapped	IgVPseudogene	5	35349127	1.4144620884131028e-5
own library, 130 nt	Uniquely mapped	pseudogene	5	35349127	1.4144620884131028e-5
own library, 130 nt	Uniquely mapped	IgCGene	3	35349127	8.486772530478617e-6
own library, 130 nt	Uniquely mapped	TrJGene	3	35349127	8.486772530478617e-6
own library, 130 nt	Multi-mapped	lncRNA	14057790	19484483	72.14864258907973
own library, 130 nt	Multi-mapped	ProteinCoding	12749973	19484483	65.43654763639353
own library, 130 nt	Multi-mapped	MiscRna	4564898	19484483	23.428376313602982
own library, 130 nt	Multi-mapped	snRNA	3546335	19484483	18.200816516404362
own library, 130 nt	Multi-mapped	miRNA	2519393	19484483	12.930253268716445
own library, 130 nt	Multi-mapped	ProcessedPseudogene	1393085	19484483	7.149714980890178
own library, 130 nt	Multi-mapped	snoRNA	770636	19484483	3.955126753940559
own library, 130 nt	Multi-mapped	TranscribedProcessedPseudogene	621143	19484483	3.187885457366254
own library, 130 nt	Multi-mapped	UnprocessedPseudogene	205419	19484483	1.054269697584483
own library, 130 nt	Multi-mapped	rRNA	176843	19484483	0.907609403852286
own library, 130 nt	Multi-mapped	TranscribedUnprocessedPseudogene	79180	19484483	0.40637465207570556
own library, 130 nt	Multi-mapped	TranscribedUnitaryPseudogene	44204	19484483	0.22686770801154948
own library, 130 nt	Multi-mapped	TEC	36862	19484483	0.18918644133385526
own library, 130 nt	Multi-mapped	UnitaryPseudogene	18103	19484483	0.09290982983741472
own library, 130 nt	Multi-mapped	tRNA	17159	19484483	0.08806494891345076
own library, 130 nt	Multi-mapped	ribozyme	3005	19484483	0.015422528788677637
own library, 130 nt	Multi-mapped	MtTrna	2011	19484483	0.01032103340899525
own library, 130 nt	Multi-mapped	MtRrna	791	19484483	0.004059640689465561
own library, 130 nt	Multi-mapped	scaRNA	226	19484483	0.001159897339847303
own library, 130 nt	Multi-mapped	IgVGene	87	19484483	4.46509152950068e-4
own library, 130 nt	Multi-mapped	TrVGene	87	19484483	4.46509152950068e-4
own library, 130 nt	Multi-mapped	IgVPseudogene	66	19484483	3.3873108154832744e-4
own library, 130 nt	Multi-mapped	TranslatedUnprocessedPseudogene	52	19484483	2.668790339471671e-4
own library, 130 nt	Multi-mapped	IgCGene	51	19484483	2.617467448327985e-4
