dataset	cell	class	ngenes	reads
own library, 130 nt	006	multi	5	82800
own library, 130 nt	006	multi	6	31014
own library, 130 nt	006	multi	7	59629
own library, 130 nt	006	multi	8	16421
own library, 130 nt	006	multi	9	22356
own library, 130 nt	006	multi	10	2926
own library, 130 nt	006	multi	11	2584
own library, 130 nt	006	multi	12	16067
own library, 130 nt	006	multi	13	4276
own library, 130 nt	006	multi	14	1070
own library, 130 nt	006	multi	15	5845
own library, 130 nt	006	multi	16	634
own library, 130 nt	006	multi	17	1576
own library, 130 nt	006	multi	18	283
own library, 130 nt	006	multi	19	396
own library, 130 nt	006	multi	20	999
own library, 130 nt	006	single	1	1535942
own library, 130 nt	006	single	2	110023
own library, 130 nt	006	single	3	7203
own library, 130 nt	006	single	4	927
own library, 130 nt	006	single	5	4
own library, 130 nt	006	single	6	6
own library, 130 nt	006	single	8	2
own library, 130 nt	006	single	9	1
own library, 130 nt	006	single	12	8
own library, 130 nt	006	single	13	6
own library, 130 nt	006	single	14	4
own library, 130 nt	006	single	15	9
own library, 130 nt	006	single	16	14
own library, 130 nt	006	single	17	2
own library, 130 nt	006	single	18	2
own library, 130 nt	006	single	19	1
own library, 130 nt	006	single	20	107
own library, 130 nt	007	multi	1	205997
own library, 130 nt	007	multi	2	536022
own library, 130 nt	007	multi	3	318867
own library, 130 nt	007	multi	4	139247
own library, 130 nt	007	multi	5	202840
own library, 130 nt	007	multi	6	95481
own library, 130 nt	007	multi	7	147486
own library, 130 nt	007	multi	8	41427
own library, 130 nt	007	multi	9	69519
own library, 130 nt	007	multi	10	6103
own library, 130 nt	007	multi	11	4686
own library, 130 nt	007	multi	12	52196
own library, 130 nt	007	multi	13	12598
own library, 130 nt	007	multi	14	2067
own library, 130 nt	007	multi	15	11990
own library, 130 nt	007	multi	16	1128
own library, 130 nt	007	multi	17	1548
own library, 130 nt	007	multi	18	594
own library, 130 nt	007	multi	19	766
own library, 130 nt	007	multi	20	1727
own library, 130 nt	007	single	1	3460129
own library, 130 nt	007	single	2	272001
own library, 130 nt	007	single	3	20510
own library, 130 nt	007	single	4	2886
own library, 130 nt	007	single	5	26
own library, 130 nt	007	single	6	17
own library, 130 nt	007	single	7	13
own library, 130 nt	007	single	8	1
own library, 130 nt	007	single	9	3
own library, 130 nt	007	single	10	2
own library, 130 nt	007	single	11	1
own library, 130 nt	007	single	13	2
own library, 130 nt	007	single	14	5
own library, 130 nt	007	single	15	33
own library, 130 nt	007	single	16	18
own library, 130 nt	007	single	17	2
own library, 130 nt	007	single	18	9
own library, 130 nt	007	single	19	10
own library, 130 nt	007	single	20	228
own library, 130 nt	008	multi	1	135738
own library, 130 nt	008	multi	2	484659
own library, 130 nt	008	multi	3	164292
own library, 130 nt	008	multi	4	81286
own library, 130 nt	008	multi	5	97336
own library, 130 nt	008	multi	6	51752
own library, 130 nt	008	multi	7	60801
own library, 130 nt	008	multi	8	24414
own library, 130 nt	008	multi	9	37197
own library, 130 nt	008	multi	10	3874
own library, 130 nt	008	multi	11	3067
own library, 130 nt	008	multi	12	38495
own library, 130 nt	008	multi	13	7898
own library, 130 nt	008	multi	14	1253
own library, 130 nt	008	multi	15	10406
own library, 130 nt	008	multi	16	754
own library, 130 nt	008	multi	17	1324
own library, 130 nt	008	multi	18	368
own library, 130 nt	008	multi	19	462
own library, 130 nt	008	multi	20	1082
own library, 130 nt	008	single	1	1919563
own library, 130 nt	008	single	2	137130
own library, 130 nt	008	single	3	11556
own library, 130 nt	008	single	4	1239
own library, 130 nt	008	single	5	18
own library, 130 nt	008	single	6	5
own library, 130 nt	008	single	8	9
own library, 130 nt	008	single	9	6
own library, 130 nt	008	single	10	4
own library, 130 nt	008	single	11	2
own library, 130 nt	008	single	12	21
own library, 130 nt	008	single	13	4
own library, 130 nt	008	single	14	7
own library, 130 nt	008	single	15	16
own library, 130 nt	008	single	16	7
own library, 130 nt	008	single	17	22
own library, 130 nt	008	single	18	2
own library, 130 nt	008	single	19	4
own library, 130 nt	008	single	20	123
own library, 130 nt	009	multi	1	156074
own library, 130 nt	009	multi	2	460624
own library, 130 nt	009	multi	3	235230
own library, 130 nt	009	multi	4	105178
own library, 130 nt	009	multi	5	143185
own library, 130 nt	009	multi	6	55077
own library, 130 nt	009	multi	7	101131
own library, 130 nt	009	multi	8	25947
own library, 130 nt	009	multi	9	38118
own library, 130 nt	009	multi	10	5039
own library, 130 nt	009	multi	11	3643
own library, 130 nt	009	multi	12	27514
own library, 130 nt	009	multi	13	6795
own library, 130 nt	009	multi	14	1726
own library, 130 nt	009	multi	15	8228
own library, 130 nt	009	multi	16	1005
own library, 130 nt	009	multi	17	1783
own library, 130 nt	009	multi	18	492
own library, 130 nt	009	multi	19	595
own library, 130 nt	009	multi	20	1770
own library, 130 nt	009	single	1	2706370
own library, 130 nt	009	single	2	193461
own library, 130 nt	009	single	3	13872
own library, 130 nt	009	single	4	1731
own library, 130 nt	009	single	5	20
own library, 130 nt	009	single	6	10
own library, 130 nt	009	single	7	5
own library, 130 nt	009	single	8	7
own library, 130 nt	009	single	9	2
own library, 130 nt	009	single	12	5
own library, 130 nt	009	single	13	1
own library, 130 nt	009	single	14	2
own library, 130 nt	009	single	15	35
own library, 130 nt	009	single	16	15
own library, 130 nt	009	single	17	31
own library, 130 nt	009	single	18	5
own library, 130 nt	009	single	19	7
own library, 130 nt	009	single	20	160
own library, 130 nt	010	multi	1	268089
own library, 130 nt	010	multi	2	785236
own library, 130 nt	010	multi	3	509486
own library, 130 nt	010	multi	4	229330
own library, 130 nt	010	multi	5	271011
own library, 130 nt	010	multi	6	196225
own library, 130 nt	010	multi	7	205478
own library, 130 nt	010	multi	8	103683
own library, 130 nt	010	multi	9	139669
own library, 130 nt	010	multi	10	9441
own library, 130 nt	010	multi	11	7363
own library, 130 nt	010	multi	12	146834
own library, 130 nt	010	multi	13	34636
own library, 130 nt	010	multi	14	2984
own library, 130 nt	010	multi	15	32744
own library, 130 nt	010	multi	16	1764
own library, 130 nt	010	multi	17	2072
own library, 130 nt	010	multi	18	960
own library, 130 nt	010	multi	19	757
own library, 130 nt	010	multi	20	2538
own library, 130 nt	010	single	1	5175941
own library, 130 nt	010	single	2	420430
own library, 130 nt	010	single	3	39140
own library, 130 nt	010	single	4	6317
own library, 130 nt	010	single	5	44
own library, 130 nt	010	single	6	20
own library, 130 nt	010	single	7	7
own library, 130 nt	010	single	8	42
own library, 130 nt	010	single	9	13
own library, 130 nt	010	single	10	26
own library, 130 nt	010	single	11	2
own library, 130 nt	010	single	13	7
own library, 130 nt	010	single	14	17
own library, 130 nt	010	single	15	39
own library, 130 nt	010	single	16	35
own library, 130 nt	010	single	17	19
own library, 130 nt	010	single	18	13
own library, 130 nt	010	single	19	63
own library, 130 nt	010	single	20	670
own library, 130 nt	011	multi	1	255543
own library, 130 nt	011	multi	2	721814
own library, 130 nt	011	multi	3	549481
own library, 130 nt	011	multi	4	237782
own library, 130 nt	011	multi	5	274694
own library, 130 nt	011	multi	6	214537
own library, 130 nt	011	multi	7	216919
own library, 130 nt	011	multi	8	111942
own library, 130 nt	011	multi	9	190328
own library, 130 nt	011	multi	10	10052
own library, 130 nt	011	multi	11	8373
own library, 130 nt	011	multi	12	150613
own library, 130 nt	011	multi	13	43650
own library, 130 nt	011	multi	14	2973
own library, 130 nt	011	multi	15	30652
own library, 130 nt	011	multi	16	1846
own library, 130 nt	011	multi	17	2130
own library, 130 nt	011	multi	18	933
own library, 130 nt	011	multi	19	738
own library, 130 nt	011	multi	20	2343
own library, 130 nt	011	single	1	5150187
own library, 130 nt	011	single	2	451372
own library, 130 nt	011	single	3	51350
own library, 130 nt	011	single	4	8752
own library, 130 nt	011	single	5	34
own library, 130 nt	011	single	6	34
own library, 130 nt	011	single	7	12
own library, 130 nt	011	single	8	12
own library, 130 nt	011	single	9	6
own library, 130 nt	011	single	10	20
own library, 130 nt	011	single	11	1
own library, 130 nt	011	single	12	5
own library, 130 nt	011	single	13	21
own library, 130 nt	011	single	14	9
own library, 130 nt	011	single	15	83
own library, 130 nt	011	single	16	14
own library, 130 nt	011	single	17	18
own library, 130 nt	011	single	18	9
own library, 130 nt	011	single	19	42
own library, 130 nt	011	single	20	640
own library, 130 nt	012	multi	1	214845
own library, 130 nt	012	multi	2	608517
own library, 130 nt	012	multi	3	431174
own library, 130 nt	012	multi	4	179677
own library, 130 nt	012	multi	5	246399
own library, 130 nt	012	multi	6	162300
own library, 130 nt	012	multi	7	185940
own library, 130 nt	012	multi	8	64923
own library, 130 nt	012	multi	9	112231
own library, 130 nt	012	multi	10	7834
own library, 130 nt	012	multi	11	6299
own library, 130 nt	012	multi	12	126918
own library, 130 nt	012	multi	13	24657
own library, 130 nt	012	multi	14	2606
own library, 130 nt	012	multi	15	26067
own library, 130 nt	012	multi	16	1735
own library, 130 nt	012	multi	17	2288
own library, 130 nt	012	multi	18	993
own library, 130 nt	012	multi	19	755
own library, 130 nt	012	multi	20	2253
own library, 130 nt	012	single	1	4248388
own library, 130 nt	012	single	2	361175
own library, 130 nt	012	single	3	31338
own library, 130 nt	012	single	4	5061
own library, 130 nt	012	single	5	47
own library, 130 nt	012	single	6	24
own library, 130 nt	012	single	7	2
own library, 130 nt	012	single	8	11
own library, 130 nt	012	single	9	18
own library, 130 nt	012	single	11	12
own library, 130 nt	012	single	12	7
own library, 130 nt	012	single	13	11
own library, 130 nt	012	single	14	9
own library, 130 nt	012	single	15	26
own library, 130 nt	012	single	16	15
own library, 130 nt	012	single	17	16
own library, 130 nt	012	single	18	15
own library, 130 nt	012	single	19	35
own library, 130 nt	012	single	20	472
own library, 130 nt	013	multi	1	199797
own library, 130 nt	013	multi	2	729666
own library, 130 nt	013	multi	3	401107
own library, 130 nt	013	multi	4	180936
own library, 130 nt	013	multi	5	220344
own library, 130 nt	013	multi	6	170214
own library, 130 nt	013	multi	7	165415
own library, 130 nt	013	multi	8	97253
own library, 130 nt	013	multi	9	150347
own library, 130 nt	013	multi	10	7539
own library, 130 nt	013	multi	11	6092
own library, 130 nt	013	multi	12	120064
own library, 130 nt	013	multi	13	32292
own library, 130 nt	013	multi	14	2275
own library, 130 nt	013	multi	15	26631
own library, 130 nt	013	multi	16	1381
own library, 130 nt	013	multi	17	1583
own library, 130 nt	013	multi	18	719
own library, 130 nt	013	multi	19	565
own library, 130 nt	013	multi	20	1846
own library, 130 nt	013	single	1	3587599
own library, 130 nt	013	single	2	310192
own library, 130 nt	013	single	3	35228
own library, 130 nt	013	single	4	4328
own library, 130 nt	013	single	5	43
own library, 130 nt	013	single	6	18
own library, 130 nt	013	single	7	3
own library, 130 nt	013	single	8	29
own library, 130 nt	013	single	9	12
own library, 130 nt	013	single	10	1
own library, 130 nt	013	single	12	2
own library, 130 nt	013	single	13	7
own library, 130 nt	013	single	14	12
own library, 130 nt	013	single	15	18
own library, 130 nt	013	single	16	7
own library, 130 nt	013	single	17	29
own library, 130 nt	013	single	18	12
own library, 130 nt	013	single	19	27
own library, 130 nt	013	single	20	439
own library, 130 nt	014	multi	1	21795
own library, 130 nt	014	multi	2	13067
own library, 130 nt	014	multi	3	7613
own library, 130 nt	014	multi	4	3282
own library, 130 nt	014	multi	5	2612
own library, 130 nt	014	multi	6	1362
own library, 130 nt	014	multi	7	979
own library, 130 nt	014	multi	8	447
own library, 130 nt	014	multi	9	439
own library, 130 nt	014	multi	10	132
own library, 130 nt	014	multi	11	61
own library, 130 nt	014	multi	12	230
own library, 130 nt	014	multi	13	134
own library, 130 nt	014	multi	14	12
own library, 130 nt	014	multi	15	68
own library, 130 nt	014	multi	16	11
own library, 130 nt	014	multi	17	2
own library, 130 nt	014	multi	18	6
own library, 130 nt	014	multi	19	4
own library, 130 nt	014	multi	20	11
own library, 130 nt	014	single	1	28008
own library, 130 nt	014	single	2	1740
own library, 130 nt	014	single	3	112
own library, 130 nt	014	single	4	33
own library, 130 nt	014	single	15	1
own library, 130 nt	014	single	20	6
own library, 130 nt	015	multi	1	25659
own library, 130 nt	015	multi	2	16887
own library, 130 nt	015	multi	3	8896
own library, 130 nt	015	multi	4	3993
own library, 130 nt	015	multi	5	3439
own library, 130 nt	015	multi	6	1655
own library, 130 nt	015	multi	7	1672
own library, 130 nt	015	multi	8	742
own library, 130 nt	015	multi	9	786
own library, 130 nt	015	multi	10	174
own library, 130 nt	015	multi	11	58
own library, 130 nt	015	multi	12	425
own library, 130 nt	015	multi	13	118
own library, 130 nt	015	multi	14	29
own library, 130 nt	015	multi	15	153
own library, 130 nt	015	multi	16	17
own library, 130 nt	015	multi	17	28
own library, 130 nt	015	multi	18	9
own library, 130 nt	015	multi	19	3
own library, 130 nt	015	multi	20	12
own library, 130 nt	015	single	1	47564
own library, 130 nt	015	single	2	2863
own library, 130 nt	015	single	3	189
own library, 130 nt	015	single	4	41
own library, 130 nt	015	single	15	1
own library, 130 nt	015	single	19	1
own library, 130 nt	015	single	20	6
own library, 130 nt	016	multi	1	13618
own library, 130 nt	016	multi	2	8086
own library, 130 nt	016	multi	3	3788
own library, 130 nt	016	multi	4	1646
own library, 130 nt	016	multi	5	1333
own library, 130 nt	016	multi	6	976
own library, 130 nt	016	multi	7	580
own library, 130 nt	016	multi	8	298
own library, 130 nt	016	multi	9	290
own library, 130 nt	016	multi	10	52
own library, 130 nt	016	multi	11	55
own library, 130 nt	016	multi	12	97
own library, 130 nt	016	multi	13	22
own library, 130 nt	016	multi	14	7
own library, 130 nt	016	multi	15	51
own library, 130 nt	016	multi	16	4
own library, 130 nt	016	multi	17	4
own library, 130 nt	016	multi	18	2
own library, 130 nt	016	multi	20	9
own library, 130 nt	016	single	1	17209
own library, 130 nt	016	single	2	1000
own library, 130 nt	016	single	3	76
own library, 130 nt	016	single	4	17
own library, 130 nt	016	single	14	1
own library, 130 nt	016	single	20	2
own library, 75 nt	001	multi	1	18181
own library, 75 nt	001	multi	2	12202
own library, 75 nt	001	multi	3	5610
own library, 75 nt	001	multi	4	3403
own library, 75 nt	001	multi	5	4456
own library, 75 nt	001	multi	6	1972
own library, 75 nt	001	multi	7	1987
own library, 75 nt	001	multi	8	491
own library, 75 nt	001	multi	9	805
own library, 75 nt	001	multi	10	434
own library, 75 nt	001	multi	11	226
own library, 75 nt	001	multi	12	387
own library, 75 nt	001	multi	13	279
own library, 75 nt	001	multi	14	100
