dataset	cell	class	star_reads	bed_reads	bed_rows	reads_1biotype	reads_mixed	exon	intron	tRNA	mixed_label	reads_offspecies	rows_offspecies
VASA own, 75 nt	005	single	1280665	1001537	1295289	935610	65927	742186	217147	163	42041	0	0
VASA own, 75 nt	006	multi	1166652	1070240	4411820	218679	851561	309823	491102	109	269206	0	0
VASA own, 75 nt	006	single	2047379	1557402	1991766	1477947	79455	1128457	364624	246	64075	0	0
VASA own, 75 nt	007	multi	2280128	2121284	10234818	403357	1717927	777930	681164	153	662037	0	0
VASA own, 75 nt	007	single	4210545	3525062	4527973	3319651	205411	2584368	792310	586	147798	0	0
VASA own, 75 nt	008	multi	1483333	1364009	5934437	272745	1091264	366550	612701	147	384611	0	0
VASA own, 75 nt	008	single	2610236	1946559	2470438	1845093	101466	1377241	486736	506	82076	0	0
VASA own, 75 nt	009	multi	1700859	1579409	7078070	307821	1271588	573419	555447	132	450411	0	0
VASA own, 75 nt	009	single	3284522	2732895	3503474	2595101	137794	2010742	610800	396	110957	0	0
VASA own, 75 nt	010	multi	3509748	3333472	18071319	519003	2814469	1138148	933491	325	1261508	0	0
VASA own, 75 nt	010	single	6159789	5278493	6823113	4948781	329712	3869293	1183959	900	224341	0	0
VASA own, 75 nt	011	multi	3576575	3398089	19393379	511082	2887007	1177467	850851	270	1369501	0	0
VASA own, 75 nt	011	single	6150491	5321466	6927195	4946452	375014	3904332	1174769	958	241407	0	0
VASA own, 75 nt	012	multi	2845254	2698157	14705357	428596	2269561	994891	696538	249	1006479	0	0
VASA own, 75 nt	012	single	5078220	4361416	5646889	4075311	286105	3215818	957188	531	187879	0	0
VASA own, 75 nt	013	multi	2983882	2827311	15460861	401797	2425514	861809	904230	277	1060995	0	0
VASA own, 75 nt	013	single	4497200	3691654	4785487	3438383	253271	2697692	829392	701	163869	0	0
VASA own, 75 nt	014	multi	91054	66600	166655	40434	26166	6995	44925	0	14680	0	0
VASA own, 75 nt	014	single	69941	32652	38338	31199	1453	13993	17541	3	1115	0	0
VASA own, 75 nt	015	multi	106663	80320	219124	45728	34592	10963	52929	1	16427	0	0
VASA own, 75 nt	015	single	98855	53665	64092	51541	2124	27900	23768	5	1992	0	0
VASA own, 75 nt	016	multi	48001	35570	89086	22878	12692	3447	25962	1	6160	0	0
VASA own, 75 nt	016	single	38167	18860	21885	18259	601	7536	10734	1	589	0	0
VASA published, mouse	002	multi	6485	6010	27523	1620	4390	2554	1119	0	2337	0	0
VASA published, mouse	002	single	35513	33756	41631	33010	746	21829	10595	2	1330	0	0
VASA published, mouse	004	multi	60096	54853	240140	14813	40040	24237	10618	3	19995	0	0
VASA published, mouse	004	single	398914	383960	471279	376517	7443	235102	137842	35	10981	0	0
VASA published, mouse	006	multi	57016	53396	243583	14392	39004	22541	10708	5	20142	0	0
VASA published, mouse	006	single	374203	358115	439081	349736	8379	210884	132061	17	15153	0	0
VASA published, mouse	008	multi	42038	40202	214583	6571	33631	21176	4802	1	14223	0	0
VASA published, mouse	008	single	161515	153867	192701	148503	5364	94364	52844	5	6654	0	0
VASA published, mouse	010	multi	59488	56923	278268	10015	46908	31423	6576	5	18919	0	0
VASA published, mouse	010	single	251967	239121	294774	230709	8412	147082	81907	37	10095	0	0
VASA published, mouse	012	multi	153684	144725	721693	28256	116469	68249	22262	18	54196	0	0
VASA published, mouse	012	single	695874	660928	816271	642154	18774	395601	237487	77	27763	0	0
VASA published, mouse	014	multi	12111	11139	53928	2050	9089	5766	1391	1	3981	0	0
VASA published, mouse	014	single	37339	33982	42890	32803	1179	23221	9294	11	1456	0	0
VASA published, mouse	016	multi	35959	32696	144910	10062	22634	12610	8362	2	11722	0	0
VASA published, mouse	016	single	244661	230355	280002	225076	5279	129826	90236	5	10288	0	0
VASA published, mouse	018	multi	60017	58068	335520	8165	49903	28103	5626	10	24329	0	0
VASA published, mouse	018	single	207927	198463	249250	190662	7801	125578	63909	23	8953	0	0
VASA published, mouse	020	multi	143593	136943	766792	22228	114715	66331	17754	7	52851	0	0
VASA published, mouse	020	single	559999	527079	651710	508666	18413	309423	193727	39	23890	0	0
