dataset	cell	class	biotype	reads
FLASH-seq	ZHA8833A2	multi	TranscribedProcessedPseudogene	533778
FLASH-seq	ZHA8833A2	multi	UnprocessedPseudogene	195703
FLASH-seq	ZHA8833A2	multi	miRNA	57698
FLASH-seq	ZHA8833A2	multi	MiscRna	52585
FLASH-seq	ZHA8833A2	multi	TranscribedUnprocessedPseudogene	39986
FLASH-seq	ZHA8833A2	multi	TEC	30841
FLASH-seq	ZHA8833A2	multi	TranscribedUnitaryPseudogene	15761
FLASH-seq	ZHA8833A2	multi	MtTrna	6265
FLASH-seq	ZHA8833A2	multi	UnitaryPseudogene	5890
FLASH-seq	ZHA8833A2	multi	tRNA	676
FLASH-seq	ZHA8833A2	multi	snoRNA	493
FLASH-seq	ZHA8833A2	multi	snRNA	140
FLASH-seq	ZHA8833A2	multi	pseudogene	47
FLASH-seq	ZHA8833A2	multi	rRNA	42
FLASH-seq	ZHA8833A2	multi	ribozyme	12
FLASH-seq	ZHA8833A2	multi	TrVGene	4
FLASH-seq	ZHA8833A2	multi	TrCGene	2
FLASH-seq	ZHA8833A2	multi	scaRNA	2
FLASH-seq	ZHA8833A2	multi	TranslatedUnprocessedPseudogene	1
FLASH-seq	ZHA8833A2	single	ProteinCoding	19214291
FLASH-seq	ZHA8833A2	single	lncRNA	2731324
FLASH-seq	ZHA8833A2	single	TEC	97233
FLASH-seq	ZHA8833A2	single	ProcessedPseudogene	70108
FLASH-seq	ZHA8833A2	single	miRNA	64413
FLASH-seq	ZHA8833A2	single	TranscribedProcessedPseudogene	35061
FLASH-seq	ZHA8833A2	single	TranscribedUnprocessedPseudogene	13514
FLASH-seq	ZHA8833A2	single	snoRNA	6262
FLASH-seq	ZHA8833A2	single	MtTrna	2727
FLASH-seq	ZHA8833A2	single	TranscribedUnitaryPseudogene	2563
FLASH-seq	ZHA8833A2	single	MiscRna	2208
FLASH-seq	ZHA8833A2	single	UnprocessedPseudogene	1807
FLASH-seq	ZHA8833A2	single	UnitaryPseudogene	877
FLASH-seq	ZHA8833A2	single	snRNA	750
FLASH-seq	ZHA8833A2	single	tRNA	712
FLASH-seq	ZHA8833A2	single	MtRrna	247
FLASH-seq	ZHA8833A2	single	rRNA	199
FLASH-seq	ZHA8833A2	single	ribozyme	194
FLASH-seq	ZHA8833A2	single	scaRNA	166
FLASH-seq	ZHA8833A2	single	IgVGene	19
