dataset	class	length	biotype	reads	reads_at_length
FLASH-seq	multi	23	TranscribedUnitaryPseudogene	17	4474
FLASH-seq	multi	23	TranscribedUnprocessedPseudogene	66	4474
FLASH-seq	multi	23	UnitaryPseudogene	12	4474
FLASH-seq	multi	23	UnprocessedPseudogene	100	4474
FLASH-seq	multi	23	lncRNA	2605	4474
FLASH-seq	multi	23	miRNA	14	4474
FLASH-seq	multi	23	rRNA	4	4474
FLASH-seq	multi	23	snoRNA	1	4474
FLASH-seq	multi	23	tRNA	1	4474
FLASH-seq	multi	24	IgCGene	1	3397
FLASH-seq	multi	24	IgVGene	1	3397
FLASH-seq	multi	24	MiscRna	11	3397
FLASH-seq	multi	24	MtTrna	4	3397
FLASH-seq	multi	24	ProcessedPseudogene	861	3397
FLASH-seq	multi	24	ProteinCoding	3152	3397
FLASH-seq	multi	24	TEC	31	3397
FLASH-seq	multi	24	TranscribedProcessedPseudogene	423	3397
FLASH-seq	multi	24	TranscribedUnitaryPseudogene	22	3397
FLASH-seq	multi	24	TranscribedUnprocessedPseudogene	53	3397
FLASH-seq	multi	24	UnitaryPseudogene	12	3397
FLASH-seq	multi	24	UnprocessedPseudogene	88	3397
FLASH-seq	multi	24	lncRNA	1996	3397
FLASH-seq	multi	24	miRNA	18	3397
FLASH-seq	multi	24	pseudogene	1	3397
FLASH-seq	multi	24	rRNA	1	3397
FLASH-seq	multi	24	snoRNA	2	3397
FLASH-seq	multi	25	MiscRna	14	4085
FLASH-seq	multi	25	ProcessedPseudogene	1022	4085
FLASH-seq	multi	25	ProteinCoding	3805	4085
FLASH-seq	multi	25	TEC	49	4085
FLASH-seq	multi	25	TrJGene	1	4085
FLASH-seq	multi	25	TranscribedProcessedPseudogene	454	4085
FLASH-seq	multi	25	TranscribedUnitaryPseudogene	13	4085
FLASH-seq	multi	25	TranscribedUnprocessedPseudogene	33	4085
FLASH-seq	multi	25	UnitaryPseudogene	15	4085
FLASH-seq	multi	25	UnprocessedPseudogene	88	4085
FLASH-seq	multi	25	lncRNA	2342	4085
